ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
16,32,2,64,256,30,1,5242880,20,4,6,161.447,2784.82,2.38
16,32,2,192,1024,256,3,5242880,20,4,6,527.130,852.92,2.12
16,32,3,96,1024,10,2,5242880,20,4,6,679.860,661.31,2.64
16,32,3,128,256,50,3,10485760,20,4,6,176.160,2552.23,2.29
16,32,3,128,1024,30,4,1048576,20,4,6,653.054,688.45,2.45
16,32,3,192,1024,10,3,5242880,20,4,6,692.125,649.59,2.70
16,32,4,32,1024,10,1,52428800,20,4,6,809.388,555.48,2.81
16,32,4,64,1024,256,1,52428800,20,4,6,1085.060,414.35,2.04
16,32,4,96,256,256,3,1048576,20,4,6,235.612,1908.22,2.08
16,32,4,160,256,30,1,5242880,20,4,6,213.407,2106.77,2.34
16,32,5,96,1024,256,2,5242880,20,4,6,1064.034,422.54,2.07
16,32,5,128,256,30,4,5242880,20,4,6,249.814,1799.74,2.35
16,32,5,192,1024,30,4,52428800,20,4,6,1041.052,431.87,2.42
16,32,5,224,256,50,3,52428800,20,4,6,297.300,1512.28,2.27
16,48,1,160,256,30,2,10485760,20,4,6,101.548,4427.47,2.37
16,48,1,192,1024,10,4,1048576,20,4,6,385.839,1165.25,2.80
16,48,2,64,256,30,4,1048576,20,4,6,206.403,2178.26,2.38
16,48,2,96,256,30,1,52428800,20,4,6,175.914,2555.79,2.35
16,48,2,224,1024,30,1,2097152,20,4,6,730.197,615.72,2.38
16,48,4,32,256,10,4,5242880,20,4,6,268.911,1671.93,2.63
16,48,5,32,1024,30,2,5242880,20,4,6,1296.801,346.70,2.35
16,48,5,192,1024,10,3,20971520,20,4,6,1382.169,325.28,2.74
16,48,5,224,256,50,4,10485760,20,4,6,390.861,1150.28,2.33
16,72,1,96,256,10,2,5242880,20,4,6,142.322,3159.04,2.58
16,72,1,128,1024,30,4,10485760,20,4,6,478.312,939.97,2.51
16,72,3,128,1024,256,2,5242880,20,4,6,1141.746,393.78,2.03
16,72,4,96,1024,10,3,10485760,20,4,6,1559.539,288.29,2.57
16,72,5,32,256,30,1,10485760,20,4,6,449.162,1000.97,2.30
16,72,5,32,256,50,3,52428800,20,4,6,450.247,998.56,2.20
16,72,5,64,1024,30,4,10485760,20,4,6,2354.056,190.98,2.48
20,8,1,32,1024,10,2,1048576,20,4,6,197.845,2272.49,2.79
20,8,1,32,1024,10,4,52428800,20,4,6,193.238,2326.66,2.83
20,8,1,96,1024,50,3,52428800,20,4,6,207.563,2166.09,2.49
20,8,2,96,1024,10,3,5242880,20,4,6,294.436,1526.99,2.78
20,8,2,224,1024,50,2,5242880,20,4,6,330.336,1361.04,2.46
20,8,2,224,1024,256,3,5242880,20,4,6,346.209,1298.64,2.19
20,8,3,64,1024,10,2,10485760,20,4,6,445.120,1010.06,2.88
20,8,3,64,1024,50,4,2097152,20,4,6,448.308,1002.88,2.50
20,8,3,224,1024,30,1,52428800,20,4,6,412.728,1089.33,2.48
20,8,3,224,1024,30,3,5242880,20,4,6,416.957,1078.29,2.49
20,8,4,192,1024,10,4,10485760,20,4,6,455.482,987.08,2.90
20,8,4,224,1024,256,2,10485760,20,4,6,522.016,861.27,2.17
20,8,5,128,256,50,1,1048576,20,4,6,144.957,3101.61,2.31
20,12,1,128,1024,30,4,1048576,20,4,6,218.166,2060.82,2.55
20,12,1,256,256,256,1,52428800,20,4,6,80.191,5606.62,2.08
20,12,2,64,1024,30,3,5242880,20,4,6,404.743,1110.83,2.40
20,12,2,192,1024,10,3,2097152,20,4,6,332.435,1352.44,2.72
20,12,2,192,1024,256,1,5242880,20,4,6,357.988,1255.91,2.07
20,12,3,64,256,30,1,5242880,20,4,6,143.814,3126.26,2.34
20,12,3,192,256,50,2,10485760,20,4,6,128.697,3493.48,2.26
20,12,3,192,256,256,3,52428800,20,4,6,137.580,3267.92,2.06
20,12,3,192,1024,256,2,2097152,20,4,6,448.070,1003.41,2.12
20,12,4,160,1024,10,4,52428800,20,4,6,502.941,893.94,2.78
20,12,5,128,256,10,4,10485760,20,4,6,161.578,2782.56,2.73
20,12,5,160,256,30,2,20971520,20,4,6,163.989,2741.65,2.32
20,16,1,32,1024,50,1,10485760,20,4,6,236.955,1897.41,2.24
20,16,2,96,256,50,1,1048576,20,4,6,109.517,4105.30,2.26
20,16,3,64,1024,30,4,1048576,20,4,6,594.077,756.80,2.53
20,16,4,32,256,50,3,20971520,20,4,6,159.292,2822.49,2.33
20,16,4,32,256,256,1,10485760,20,4,6,167.634,2682.03,2.07
20,16,4,64,256,10,4,5242880,20,4,6,187.341,2399.90,2.67
20,16,4,64,256,10,4,20971520,20,4,6,185.908,2418.40,2.67
20,16,4,64,1024,50,2,52428800,20,4,6,735.720,611.10,2.24
20,16,5,192,1024,10,4,1048576,20,4,6,717.480,626.63,2.85
20,20,1,128,1024,256,3,5242880,20,4,6,266.253,1688.62,2.15
20,20,1,160,256,10,3,10485760,20,4,6,95.790,4693.61,2.63
20,20,1,160,256,30,2,5242880,20,4,6,93.795,4793.44,2.34
